DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,WGS84 Latitud,WGS84 Longitud
CRA 11W # 64-41,Monterredondo,1104343,1276248,Tipo Tráfico,4'',,
CRA 34W # 71-10,"Quebrada La
iglesia I",1103752,1275298,Tipo Tráfico,4'',,
TRANS 29A # 105-08,Asturias,1107226,1275908,Tipo Milán,3'',,
DG 105 # 27-39,Asturias,1107148,1275792,Tipo Milán,3'',,
CL 31 # 24-24,"Antonia Santos
centro",1105731,1279697,Tipo Tráfico,4'',,
CL 34 # 34-35,"Alvarez las
Américas",1106725,1279841,Tipo Milán,3'',,
DG 20 # 99-15,Provenza,1106257,1275706,Tipo Milán,3'',,
CRA 21A 105-20 BLOQ 1,Provenza,1106157,1275367,Tipo Milán,3'',,
TRANS 28 # 105-06,Asturias,1107179,1275821,Tipo Milán,3'',,
CL 109 # 31-06,Villa Inés,1107278,1275924,Tipo Piso,2'',,
CRA 29 # 93-31,Porto Fino,1107014,1276428,Tipo Milán,3'',,
CL 111 # 19-26,"Granjas de
Provenza",1106023,1275036,Tipo Milán,3'',,
CL 106 # 23A-06,Provenza,1106645,1275206,Tipo Milán,3'',,
CL 103 # 13D-38 GARAJE,"Jardines de
Coaviconsa",1105407,1275564,Tipo Milán,3'',,
"CRA 10-BETANIA SECTOR E-
PEATONAL 2","Villas de San
Ignacio",1103386,1282702,Tipo Tráfico,4'',,
CRA 57 # 16-16 BUENOS AIRES,Buenos Aires,1107819,1280525,Tipo Piso,2'',,
CRA 55 # 51-120,Pan de Azucar,1107953,1278814,Tipo Tráfico,4'',,
CL 16 # 60-04 IGLESIA,Buenos Aires,1107962,1280500,Tipo Piso,2'',,
CRA 24 # 31-64,"Antonia Santos
centro",1105718,1279617,Tipo Tráfico,4'',,
CRA 24 # 14-07,San Francisco,1105454,1280769,Tipo Piso,2'',,
CRA 25 # 19-04,San Francisco,1105623,1280325,Tipo Milán,3'',,
CL 17 # 23-10,San Francisco,1105415,1280463,Tipo Milán,3'',,
CRA 23 # 14-40,San Francisco,1105357,1280673,Tipo Piso,2'',,
CL 22 # 24-05,San Francisco,1105609,1280042,Tipo Milán,3'',,
CRA 25 # 24-08,Alarcón,1105698,1279989,Tipo Milán,3'',,
CRA 23 # 19-43,San Francisco,1105468,1280210,Tipo Milán,3'',,
CL 33 # 23-67,"Antonia Santos
centro",1105745,1279530,Tipo Piso,2'',,
CL 34 # 24-82,"Antonia Santos
centro",1105885,1279460,Tipo Milán,3'',,
CRA 26 # 32-58,"Antonia Santos
centro",1105930,1279610,Tipo Milán,3'',,
CRA 25 # 34-06,"Antonia Santos
centro",1105902,1279452,Tipo Milán,3'',,
CRA 23 # 33-87,"Antonia Santos
centro",1105725,1279402,Tipo Milán,3'',,
CL 50 # 26-85,Nuevo Sotomayor,1106286,1278718,Tipo Piso,2'',,
CL 34 # 36-72,El Prado,1106924,1279866,Tipo Tráfico,4'',,
CRA 27 # 11,Universidad,1105752,1281089,Tipo Tráfico,4'',,
CL 17 # 25-10,San Francisco,1105611,1280517,Tipo Tráfico,4'',,
CL 18 # 32-13,San Alonso,1106239,1280560,Tipo Piso,2'',,
CL 18 # 27-63,San Alonso,1105875,1280484,Tipo Piso,2'',,
CRA 26 # 20-58,San Francisco,1105753,1280187,Tipo Milán,3'',,
CL 41 # 32-12,Mejoras Públicas,1106585,1279408,Tipo Piso,2'',,
CL 36 # 34-63,El Prado,1106781,1279688,Tipo Piso,2'',,
CL 35 # 33-50,El Prado,1106680,1279735,Tipo Milán,3'',,
CRA 33 # 35-57,El Prado,1106629,1279659,Tipo Piso,2'',,
CRA 35 # 38-10,El Prado,1106813,1279536,Tipo Piso,2'',,
CL 38 # 33-01,El Prado,1106662,1279504,Tipo Piso,2'',,
CRA 30 # 32-53,Mejoras Públicas,1106308,1279801,Tipo Milán,3'',,
CL 13 # 26A-27/ 29,Universidad,1105726,1280908,Tipo Tráfico,4'',,
CL 9 # 25-76,Universidad,1105538,1281251,Tipo Tráfico,4'',,
CRA 27 # 9-10,Universidad,1105761,1281304,Tipo Tráfico,4'',,
CRA 27 # 10-78,Universidad,1105727,1281102,Tipo Tráfico,4'',,
CRA 31 # 16-76,San Alonso,1106111,1280627,Tipo Tráfico,6'',,
CL 71 # 53-01,Lagos del Cacique,1107919,1277555,Tipo Milán,3'',,
CL 71 # 53-01,Lagos del Cacique,1107931,1277545,Tipo Tráfico,6'',,
CL 71 # 54-151,Lagos del Cacique,1108215,1277599,Tipo Milán,3'',,
DG 14C # 57-59 BL A,"Ciudadela Real de
Minas",1105719,1277682,Tipo Tráfico,6'',,
CRA 4 # 65A-56,Canelos,1105463,1276783,Tipo Milán,3'',,
PLAZA MAYOR ENT 15,"Ciudadela Real de
Minas",1105307,1277473,Tipo Tráfico,6'',,
CL 60 # 8W-92,Prados Mutis,1104322,1276685,Tipo Piso,2'',,
CRA 8W # 61-18,Prados Mutis,1104449,1276729,Tipo Milán,3'',,
CL 56 # 7W-04,Mutis,1104406,1277012,Tipo Tráfico,4'',,
PLAZA MAYOR ENT 6,"Ciudadela Real de
Minas",1105329,1277329,Tipo Tráfico,6'',,
CRA 5 # 62-06,"Ciudadela Real de
Minas",1105126,1277151,Tipo Piso,2'',,
CL 60 # 1-111 CASA 71,"Ciudadela Real de
Minas",1104910,1277164,Tipo Milán,3'',,
CRA 4W # 55-57,"Ciudadela Real de
Minas",1104704,1277434,Tipo Milán,3'',,
CL 55 # 2-21 CASA 16,"Ciudadela Real de
Minas",1104755,1277394,Tipo Milán,3'',,
CRA 4 CL 64 BL 4,"Ciudadela Real de
Minas",1105272,1276910,Tipo Milán,3'',,
AV GUAYACANES CRA 2A BL 8,"Ciudadela Real de
Minas",1105187,1276851,Tipo Tráfico,4'',,
CL 65C # 2C-24,Cordoncillo I,1105383,1276419,Tipo Piso,2'',,
CRA 18W # 61A-38,Brisas del Mutis,1103949,1276346,Tipo Milán,3'',,
CL 67 # 28-111/ 121,Puerta del Sol,1106692,1277367,Tipo Milán,3'',,
DG 15 # 58-16,Ricaurte,1106163,1277881,Tipo Tráfico,4'',,
CL 58A # 17F-58,Ricaurte,1106207,1277849,Tipo Tráfico,4'',,
CL 68 # 18-30,La Victoria,1106299,1276910,Tipo Milán,3'',,
DG 15#50,La Concordia,1105664,1278285,Tipo Tráfico,4'',,
CL 1#21-17,San Cristobal,1105099,1281867,Tipo Milán,3'',,
CL 3N # 23C-12,El Plan,1105199,1281986,Tipo Milán,3'',,
CL 1N #19-18,La Juventud,1104878,1281810,Tipo Milán,3'',,
CL 3N # 17B-08,La Juventud,1104642,1281927,Tipo Milán,3'',,
CRA 11 # 29N-24,Las Hamacas,1103877,1283444,Tipo Piso,2'',,
CL 34 # 43-09,"Alvarez las
Américas",1107111,1279962,Tipo Piso,2'',,
CL 31 # 41-56,"Alvarez las
Américas",1106938,1280253,Tipo Piso,2'',,
CRA 18A # 8AN-05 XIII JUNIO,13 de Junio,1104520,1282483,Tipo Piso,2'',,
CL 74A # 49-62 CASA 112 CONJ 2,Lagos del Cacique,1108021,1276828,Tipo Milán,3'',,
AV EL TEJAR # 104-25 CASA 28A,Fatima,1107907,1276466,Tipo Milán,3'',,
CL 10 # 28-02,Universidad,1105839,1281143,Tipo Milán,3'',,
AV EL TEJAR # 104-25 CASA 1G.,Fatima,1107837,1276461,Tipo Tráfico,4'',,
CL 94 # 47-89,Lagos del Cacique,1107766,1276715,Tipo Milán,3'',,
CL 94 # 48-37 CASA 13,Lagos del Cacique,1107941,1276830,Tipo Milán,3'',,
CL 68A # 10A-26,África,1105774,1276433,Tipo Milán,3'',,
CL 71 # 29A-13,Antonia Santos sur,1106823,1277146,Tipo Milán,3'',,
"AV QUEBRADA SECA # 33A-207  T
12",Quinta Brigada,1106995,1280424,Tipo Milán,3'',,
"CL 32 # 49-74 URB BALCON DE
LAS AMERICAS","Alvarez las
Américas",1107349,1280196,Tipo Tráfico,4'',,
CRA 23 # 13,Mutualidad,1105257,1280797,Tipo Milán,3'',,
CL 14 # 22,Mutualidad,1105266,1280753,Tipo Piso,3'',,
CRA 15G # 0BIS-12,Villa Mercedes,1104236,1281872,Tipo Tráfico,4'',,
CL 1B # 16C-02,Bosque norte,1104373,1281918,Tipo Tráfico,6'',,
CRA 17 CL 2N,Transición,1104590,1281864,Tipo Milán,3'',,
"PERIMETRAL 2C # 21-13
TRANSICION",Transición,1104987,1281660,Tipo Milán,3'',,
CL 1#21D,Transición,1105050,1281822,Tipo Milán,3'',,
CL 36#13,Garcia Rovira,1104919,1278867,Tipo Tráfico,4'',,
CRA 12#34,Garcia Rovira,1104763,1279038,Tipo Milán,3'',,
CL 16#31,Centro,1105005,1279366,Tipo Milán,3'',,
CL 33#15-65,Centro,1105022,1279247,Tipo Piso,2'',,
CRA 29 # 51-07,Sotomayor,1106521,1278484,Tipo Tráfico,4'',,
CRA 15#35,Centro,1105051,1279057,Tipo Tráfico,4'',,
CL 37#16,Centro,1105269,1278961,Tipo Milán,3'',,
CRA 15#31-12,Centro,1104922,1279317,Tipo Tráfico,4'',,
CL 33 #14-31,Centro,1104926,1279206,Tipo Piso,2'',,
CL 33#13-25,Garcia Rovira,1104851,1279176,Tipo Milán,2'',,
CL 35 # 23-83,"Antonia Santos
centro",1105841,1279335,Tipo Piso,2'',,
CRA 19#34,Centro,1105269,1279242,Tipo Milán,3'',,
CRA15 #33,Centro,1104988,1279212,Tipo Tráfico,4'',,
CRA 15#41 ESQUINA,Centro,1105152,1278806,Tipo Tráfico,4'',,
CRA 15#36,Centro,1105057,1278980,Tipo Tráfico,4'',,
CRA 15#30,Centro,1104887,1279402,Tipo Tráfico,4'',,
CRA 16 # 10,Comuneros,1104632,1280973,Tipo Tráfico,4'',,
CRA 15 # 9 - 07,Comuneros,1104503,1281032,Tipo Milán,3'',,
CL 4N#15,Chapinero,1104333,1281481,Tipo Milán,3'',,
CRA 18 # 10,Comuneros,1104812,1281016,Tipo Tráfico,4'',,
CRA 15#22,Granada,1104753,1279859,Tipo Tráfico,4'',,
CRA 15#20,Granada,1104721,1280019,Tipo Tráfico,4'',,
CL 19A#13,Granada,1104533,1280082,Tipo Milán,3'',,
CRA 15 #16,Gaitán,1104629,1280477,Tipo Tráfico,4'',,
CRA 15#17,Gaitán,1104647,1280391,Tipo Tráfico,4'',,
CRA 15#19,Granada,1104686,1280197,Tipo Tráfico,4'',,
CRA 15 # 18,San Francisco,1104694,1280255,Tipo Tráfico,4'',,
CRA 15#34,Centro,1105014,1279147,Tipo Tráfico,4'',,
CL 29#5-17,Girardot,1104100,1279240,Tipo Piso,2'',,
CL 36 # 24-82,Bólivar,1105979,1279281,Tipo Piso,2'',,
CRA 28 # 58-09,Mercedes,1106560,1277908,Tipo Piso,2'',,
CL 19 # 14-18/38,Gaitán,1104606,1280195,Tipo Piso,2'',,
CL 16#14,Gaitán,1104550,1280457,Tipo Tráfico,4'',,
CL 56 # 29-95,Bolarqui,1106754,1278059,Tipo Tráfico,6'',,
CRA 33 # 69-04,Antonia Santos sur,1106844,1277410,Tipo Milán,3'',,
CL 31 # 23-72,"Antonia Santos
centro",1105697,1279681,Tipo Milán,3'',,
CRA 28 # 55-07,Bolarqui,1106458,1278156,Tipo Milán,3'',,
CRA 15 # 56-59,Gomez Niño,1105669,1277726,Tipo Milán,3'',,
DG 14 # 56-59,"Ciudadela Real de
Minas",1105640,1277704,Tipo Tráfico,4'',,
CL 67 # 21-07,La Victoria,1106309,1277084,Tipo Tráfico,4'',,
AV SAMANES # 9-140,"Ciudadela Real de
Minas",1105575,1277541,Tipo Milán,3'',,
CL  30 #5 OCC,Santander,1103744,1278824,Tipo Milán,3'',,
CRA 8 OCC#29,Santander,1103570,1278688,Tipo Piso,2'',,
CRA 15#4,Chapinero,1104330,1281382,Tipo Tráfico,4'',,
CL 27#11 OCC,Santander,1103353,1278706,Tipo Milán,3'',,
"CRA 31#42 OCC  ESQUINA
CANCHA",Don Bosco,1103232,1278508,Tipo Milán,3'',,
CL 61 # 7W-09,Mutis,1104531,1276824,Tipo Milán,3'',,
CL 28AN # 10-27,Villa alegria I,1103792,1283333,Tipo Milán,3'',,
CRA 10 # 31CN-38,Villa alegria II,1103773,1283688,Tipo Milán,3'',,
CRA 31 # 52A-31,Campestre,1106664,1278307,Tipo Milán,3'',,
CL 48 # 27A-08/ 16,Sotomayor,1106431,1278833,Tipo Piso,2'',,
CL 42 # 28-72,Sotomayor,1106531,1279229,Tipo Milán,3'',,
CL 28#0 ENTRE MZN E Y F,La Feria,1103460,1279243,Tipo Milán,3'',,
CL 51 # 27A-73,Sotomayor,1106415,1278578,Tipo Piso,2'',,
CL 21N # 16-79,Olas Bajas,1104320,1283124,Tipo Milán,3'',,
CRA 20A # 25N-03,Claveriano,1104451,1283398,Tipo Milán,3'',,
CRA 20E # 24AN-04,Claveriano,1104540,1283315,Tipo Milán,3'',,
CRA 5 # 40N-05,Café Madrid,1103413,1283572,Tipo Milán,3'',,
CRA 3 # 42N-110,Café Madrid,1103329,1284045,Tipo Milán,3'',,
CRA 6 # 43N-16,Café Madrid,1103618,1283912,Tipo Tráfico,4'',,
CL 42 # 27-45/ 59,Mejoras Públicas,1106343,1279126,Tipo Piso,2'',,
CL 53 # 15-21,La Concordia,1105937,1278112,Tipo Tráfico,4'',,
CL 52 # 17C-14,La Concordia,1105900,1278175,Tipo Piso,2'',,
CL 52 # 31-11,Campestre,1106647,1278410,Tipo Milán,3'',,
CRA 23 # 46-08,Nuevo Sotomayor,1106011,1278817,Tipo Tráfico,6'',,
CL 58 # 30-67,Mercedes,1106719,1277981,Tipo Piso,2'',,
CL 56 # 32-100,Mercedes,1106895,1278044,Tipo Tráfico,6'',,
CL 63 # 30-05 BL 1,Conucos,1106670,1277771,Tipo Tráfico,6'',,
CL 55B # 29-47,Bolarqui,1106686,1278115,Tipo Milán,3'',,
CL 53 # 22-08,La Concordia,1106173,1278236,Tipo Milán,3'',,
CL 55 # 22-72,La Concordia,1106303,1278075,Tipo Milán,3'',,
CL 56 # 18-25,Ricaurte,1106148,1277943,Tipo Piso,2'',,
CL 100 # 19-104 FONTANA,Fontana,1106102,1275675,Tipo Piso,2'',,
CL 99 # 19-07,Fontana,1105997,1275728,Tipo Piso,2'',,
CL 104A # 16-04,El Rocio,1105598,1275282,Tipo Milán,3'',,
CL 103C # 16-60 VILLA ALICIA,Villa Alicia,1105599,1275392,Tipo Milán,3'',,
CRA 15C # 106 ESQUINA,Toledo Plata,1105512,1274915,Tipo Milán,3'',,
CRA 15E # 105-18,Villa Flor,1105645,1275080,Tipo Piso,2'',,
CRA 15C # 105 ESQUINA,Villa Sara,1105493,1275003,Tipo Milán,2'',,
"TRANS CENTRAL METROP # 103A-
16 LOC 2","Jardines de
Coaviconsa",1105509,1275489,Tipo Tráfico,4'',,
BV FONTANA-26,Fontana,1105752,1275622,Tipo Milán,3'',,
CL 103A # 16-06 CASA 41,Fontana,1105539,1275504,Tipo Tráfico,6'',,
CRA 21 # 101-34 CASA 1,Fontana,1106102,1275577,Tipo Piso,2'',,
CL 105 # 9-98,El Porvenir,1104989,1274933,Tipo Piso,2'',,
CL 106 # 12-03,Malpaso,1105315,1274879,Tipo Milán,3'',,
CL 106 # 9-44,Los Guaduales,1105181,1274835,Tipo Milán,3'',,
CRA 25 # 10AN-02,Regadero Norte,1105277,1282220,Tipo Piso,2'',,
CL 104A # 11D-05,Manuela Beltran,1105258,1275096,Tipo Milán,3'',,
CRA 11B # 104-42,Manuela Beltran,1105172,1275108,Tipo Piso,2'',,
CL 103F # 10-05 ISABELAR,Igsabelar,1105089,1275172,Tipo Milán,3'',,
CRA 12 # 103D-48,Manuela Beltran,1105222,1275200,Tipo Piso,2'',,
DG 15 # 55-09,La Concordia,1106070,1278000,Tipo Tráfico,4'',,
CL 109 # 15-37,Dangond,1105333,1274536,Tipo Milán,3'',,
CL 108B # 15ABIS-136 CASA 2,Dangond,1105517,1274589,Tipo Milán,3'',,
CRA 16 # 108-21 MZ 3 CASA 15,Dangond,1105529,1274594,Tipo Milán,3'',,
CRA 13C # 103B-25,"Jardines de
Coaviconsa",1105343,1275431,Tipo Milán,3'',,
CL 103A # 13B-03,"Jardines de
Coaviconsa",1105320,1275489,Tipo Milán,3'',,
CRA 13 # 103-11,"Jardines de
Coaviconsa",1105242,1275531,Tipo Milán,3'',,
CRA 36 # 48-145,"Cabecera del
Llano",1107052,1278706,Tipo Milán,3'',,
CL 103A # 8A-08,El Porvenir,1104672,1275317,Tipo Milán,3'',,
CRA 7B # 103-19,El Porvenir,1104535,1275326,Tipo Milán,3'',,
CL 104H # 5-02,El Porvenir,1104176,1274869,Tipo Piso,2'',,
DG 104C # 104E-12,El Porvenir,1104273,1274960,Tipo Milán,3'',,
CL 104H # 6-09,El Porvenir,1104363,1274843,Tipo Milán,3'',,
CL 104I # 6A-41,El Porvenir,1104458,1274803,Tipo Milán,3'',,
CL 34 # 33-17,"Alvarez las
Américas",1106608,1279823,Tipo Piso,2'',,
AV 87 # 18-10,Diamante II,1106071,1276257,Tipo Milán,3'',,
CRA 17C # 90-13,San Luis,1105972,1276012,Tipo Tráfico,4'',,
CL 70 # 43W-20,"Quebrada La
iglesia I",1103676,1275452,Tipo Tráfico,4'',,
CL 70 # 11W-200 TERMINAL,"Quebrada La
iglesia II",1104625,1275733,Tipo Tráfico,6'',,
CRA 22 # 11N-08,Esperanza III,1104979,1282255,Tipo Piso,2'',,
CL 10N # 22-67,Esperanza II,1105026,1282140,Tipo Piso,2'',,
CL 13N # 24-20,Esperanza III,1105048,1282417,Tipo Piso,2'',,
CRA 22#12,Mutualidad,1105234,1280921,Tipo Milán,3'',,
CRA 31 # 16N-01,Los Angeles,1105223,1282794,Tipo Tráfico,4'',,
CL 16N # 19A-66 INT 3 MZ 7,Villa Rosa,1104701,1282923,Tipo Piso,2'',,
CL 12AN # 20-66 INT 1 MZ 18,Villa Rosa,1104823,1282635,Tipo Tráfico,4'',,
CL 19N # 16-75,Olas Altas,1104292,1282979,Tipo Milán,3'',,
"CRA 16 # 21N-03 CASETA COCA
COLA",Olas Bajas,1104229,1283081,Tipo Milán,3'',,
CL 15CN # 22A-06 INT A,Villa Helena I,1104904,1282896,Tipo Milán,3'',,
CL 16N # 25-30 INT A,Villa Helena I,1105028,1282866,Tipo Milán,3'',,
CL 17N # 21-03 VILLA HELENA II,Villa Helena II,1104835,1283009,Tipo Milán,3'',,
CRA 1 # 15N-03,Maria Paz,1103484,1282189,Tipo Milán,3'',,
CRA 36 # 54-100,"Cabecera del
Llano",1107138,1278145,Tipo Tráfico,4'',,
CRA 10 # 26BISN-39,"Miradores del
Kennedy",1103830,1283151,Tipo Milán,3'',,
CL 16 # 17A-53,Altos del Progreso,1104423,1282859,Tipo Milán,3'',,
CL 37#1OCC JAC LA JOYA,La Joya,1103838,1278315,Tipo Milán,3'',,
CL 60 # 17F-52,Ricaurte,1106301,1277778,Tipo Tráfico,4'',,
CL 58 # 4-27,"Ciudadela Real de
Minas",1104990,1277320,Tipo Tráfico,4'',,
CL 64E # 1W-44,"Ciudadela Real de
Minas",1105082,1276552,Tipo Piso,2'',,
AV 89 # 22-179,Diamante II,1106611,1276175,Tipo Tráfico,6'',,
CRA 3 # 60-80 MZ C CASA 27,"Ciudadela Real de
Minas",1104968,1277040,Tipo Milán,3'',,
CRA 29 # 94-03 BL 1 INT 06,Villa Diamante,1106999,1276364,Tipo Milán,3'',,
CRA 29 # 94-03,Villa Diamante,1106993,1276398,Tipo Tráfico,6'',,
"CRA 14C CL 103C 3C SUBEST
TELE",Manuela Beltran,1105443,1275379,Tipo Milán,3'',,
CRA 19 # 101-13,Fontana,1105978,1275581,Tipo Tráfico,6'',,
CL 103 # 16-39,Nueva Fontana,1105573,1275590,Tipo Tráfico,4'',,
CL 69 # 7B-03,Juan XXIII,1105509,1276231,Tipo Piso,2'',,
"BV FONTANA-26 CL 102 MZ D
CASA 19",Fontana,1105692,1275482,Tipo Milán,3'',,
CRA 32 # 100-24,La Libertad,1107216,1276352,Tipo Milán,3'',,
CL 117 # 20-44,Provenza,1106063,1274559,Tipo Tráfico,4'',,
"CL 107F CRA 15C CASA 94
BALCONES DEL SUR",Toledo Plata,1105571,1274669,Tipo Milán,3'',,
CL 16 # 57-42 BUENOS AIRES,Buenos Aires,1107861,1280521,Tipo Milán,3'',,
CL 32 # 33B-17,"Alvarez las
Américas",1106624,1280037,Tipo Tráfico,6'',,
CL 12N # 18A-66 INT 3 MZ 31,Villa Rosa,1104647,1282587,Tipo Tráfico,4'',,
CL 12A # 28-11,Universidad,1105837,1280967,Tipo Milán,3'',,
CL 32 # 28-31,La Aurora,1106132,1279810,Tipo Tráfico,4'',,
CL 20 # 27 ESQUINA,San Alonso,1105845,1280282,Tipo Tráfico,4'',,
CRA 25 # 30-26,"Antonia Santos
centro",1105730,1279798,Tipo Tráfico,4'',,
CRA 18 # 52-06,La Concordia,1105791,1278221,Tipo Tráfico,4'',,
CRA 15D # 105-11 ROBLES,Robles,1105549,1275018,Tipo Milán,3'',,
COLSEG NORTE BL 28,Colseguros Norte,1104333,1282247,Tipo Tráfico,4'',,
CL 48 # 23-27,Nuevo Sotomayor,1106107,1278664,Tipo Tráfico,4'',,
COLSEG NORTE BL 4,Colseguros Norte,1104372,1282132,Tipo Milán,3'',,
"VIA AL MAR # 7N-71 MOLINOS
ZULIA",Esperanza III,1104663,1282213,Tipo Tráfico,4'',,
CL 8N # 19-41 INT 4 MZ 33,Esperanza III,1104801,1282255,Tipo Piso,2'',,
CL 41 # 38-95 T 2,El Prado,1107029,1279572,Tipo Tráfico,6'',,
CL 45 #23O,Quinta Estrella,1103339,1277159,Tipo Milán,3'',,
CRA 45 #14OCC,Quinta Estrella,1103237,1277111,Tipo Milán,3'',,
CRA 17 #41 ESQUINA,Centro,1105184,1278723,Tipo Tráfico,4'',,
CRA 17#43 ESQUINA,Centro,1105185,1278643,Tipo Tráfico,4'',,
DG 15#16A,La Concordia,1105526,1278376,Tipo Tráfico,6'',,
CL 54N # 23-04,Colorados,1104230,1285589,Tipo Tráfico,6'',,
CL 1B # 24-04 MZ B,San Cristobal,1105250,1281832,Tipo Milán,3'',,
CRA 21#8 ESQUINA,Comuneros,1105075,1281243,Tipo Milán,3'',,
CRA 20 # 20,San Francisco,1105192,1280152,Tipo Piso,2'',,
CRA 17 # 19,San Francisco,1104883,1280170,Tipo Piso,2'',,
CRA 18 # 15,San Francisco,1104910,1280580,Tipo Tráfico,4'',,
CL 14 # 18-09,Modelo,1104895,1280677,Tipo Piso,2'',,
CRA 16 ENTRE 34 Y 33,Centro,1105082,1279183,Tipo Milán,3'',,
CRA 15 # 10-66,Gaitán,1104550,1280876,Tipo Tráfico,4'',,
CRA 15# BULEVAR BOLÍVAR,Modelo,1104584,1280821,Tipo Tráfico,4'',,
CRA 15# 15-73,San Francisco,1104657,1280440,Tipo Tráfico,4'',,
CL 28#19,Alarcón,1105213,1279729,Tipo Tráfico,4'',,
CL 21#32,"Antonia Santos
centro",1105504,1279512,Tipo Tráfico,4'',,
CRA 28 # 33-84,Mejoras Públicas,1106185,1279601,Tipo Tráfico,4'',,
CRA 14#3,Chapinero,1104237,1281469,Tipo Tráfico,4'',,
CL 9 #18 ESQUINA,Comuneros,1104816,1281096,Tipo Milán,3'',,
CRA 18 # 7,Comuneros,1104761,1281273,Tipo Tráfico,4'',,
CRA 14#43 ESQUINA,Garcia Rovira,1105043,1278616,Tipo Tráfico,4'',,
"KM4 VIA PALENQUE CAFE MADRID
PARQUE INDUSTRIAL",Río de Oro I,1101187,1278111,Tipo Tráfico,4'',,
CL 52 # 23-49,Nuevo Sotomayor,1106245,1278402,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE CRA D- 45
MZ H",Río de Oro I,1101045,1278115,Tipo Tráfico,4'',,
"VIA PALENQUE-CAFE CRA 2 # 3-
102 BODEGA 3",Río de Oro I,1100501,1277433,Tipo Milán,3'',,
VIA PALENQUE-CAFE CRA 3 # 1-76,Río de Oro I,1100352,1277334,Tipo Milán,3'',,
"VIA PALENQUE-CAFE CRA 1 # 2-57
BODEGA 6",Río de Oro I,1100375,1277221,Tipo Milán,3'',,
CL 41 # 34-60,El Prado,1106809,1279430,Tipo Tráfico,4'',,
CL 53 # 17B-52 PARQUEADERO,La Concordia,1105898,1278103,Tipo Tráfico,4'',,
CL 51A #14,San Miguel,1105216,1277955,Tipo Milán,3'',,
CRA 26 # 9-55,Universidad,1105563,1281185,Tipo Tráfico,4'',,
CRA 21B # 111-83,Provenza,1106243,1274905,Tipo Piso,2'',,
CRA 25 # 41-25,Bólivar,1106151,1278940,Tipo Milán,3'',,
CRA 54A # 73-15,Lagos del Cacique,1108292,1277299,Tipo Piso,2'',,
CRA 54 # 71-27,Lagos del Cacique,1108097,1277548,Tipo Piso,2'',,
"CL 30 # 27-46 (ENTREGAR CRA 27
# 30-15)",La Aurora,1105953,1279902,Tipo Milán,3'',,
CL 69 # 27-87,La Salle,1106652,1277024,Tipo Milán,3'',,
CL 89 # 17C-04,San Luis,1105920,1276118,Tipo Milán,3'',,
CRA 15A # 107-57,Dangond,1105377,1274724,Tipo Milán,3'',,
CRA 27 # 18-74,San Francisco,1105803,1280371,Tipo Tráfico,4'',,
CRA 17 #45-21,La Concordia,1105460,1278649,Tipo Milán,3'',,
CRA 20 # 22-37,Alarcón,1105241,1279911,Tipo Tráfico,4'',,
CRA 15#7-02,Chapinero,1104420,1281165,Tipo Tráfico,4'',,
CRA 20 # 11,Mutualidad,1105031,1280954,Tipo Tráfico,4'',,
TRANS ORIENTAL # 89-02,El Tejar,1107186,1277173,Tipo Tráfico,4'',,
CL 21 # 29-54,San Alonso,1106079,1280221,Tipo Tráfico,4'',,
CRA 21A # 117A-10,Provenza,1106135,1274558,Tipo Milán,3'',,
CL 74A # 49-63,Lagos del Cacique,1107935,1276951,Tipo Milán,3'',,
"CL 32 CRA 27 PARQUE DE LOS
NIÑOS",La Aurora,1105936,1279909,Tipo Tráfico,4'',,
CRA 39 # 42-42,"Cabecera del
Llano",1107133,1279374,Tipo Tráfico,4'',,
CL 55A # 7W-120,Mutis,1104263,1276976,Tipo Milán,3'',,
"QUEBRADA PAN DE AZUCAR
CASA 14","Cabecera del
Llano",1107602,1279515,Tipo Milán,3'',,
CRA 39 # 42-54,"Cabecera del
Llano",1107156,1279353,Tipo Tráfico,4'',,
CRA 8 #37-72,Alfonso López,1104493,1278656,Tipo Tráfico,4'',,
CRA 26 # 35-12,"Antonia Santos
centro",1106030,1279403,Tipo Piso,2'',,
CRA 34 PASAJE CADENA,Centro,1105063,1279149,Tipo Milán,3'',,
CRA 15#31,Centro,1104940,1279328,Tipo Tráfico,4'',,
CRA 22 # 48-49,La Concordia,1106007,1278540,Tipo Piso,2'',,
CL 98 # 14-03,Ciudad Venecia,1105344,1275740,Tipo Milán,3'',,
CL 30A # 33-22,Quinta Dania,1106493,1280165,Tipo Tráfico,4'',,
CL 105 # 16A - 85,El Rocio,1105831,1275235,Tipo Tráfico,4'',,
CL 6 # 24-06,Comuneros,1105315,1281484,Tipo Piso,2'',,
CRA 22 #35,"Antonia Santos
centro",1105656,1279276,Tipo Tráfico,4'',,
CRA 20#35,Centro,1105501,1279202,Tipo Milán,3'',,
CRA 31#19-37,Centro,1105357,1279528,Tipo Tráfico,3'',,
CRA 15#6 - 05,Chapinero,1104396,1281266,Tipo Tráfico,4'',,
CRA 15 # 21,San Francisco,1104753,1279952,Tipo Tráfico,4'',,
CRA 15 # 20,San Francisco,1104731,1280068,Tipo Tráfico,4'',,
CRA 15 # 23-17,Granada,1104805,1279690,Tipo Tráfico,4'',,
